, YR   MON  TOTAL ClimAdjust ANOM 
553,1996   2   25.91   26.75   -0.85
554,1996   3   26.69   27.24   -0.56
555,1996   4   27.36   27.72   -0.36
556,1996   5   27.55   27.81   -0.26
557,1996   6   27.29   27.59   -0.30
558,1996   7   26.85   27.18   -0.32
559,1996   8   26.64   26.83   -0.20
560,1996   9   26.27   26.73   -0.45
561,1996  10   26.27   26.67   -0.40
562,1996  11   26.29   26.63   -0.34
563,1996  12   25.96   26.56   -0.61
564,1997   1   26.02   26.56   -0.54
565,1997   2   26.39   26.75   -0.36
566,1997   3   27.05   27.24   -0.20
567,1997   4   27.99   27.72    0.27
568,1997   5   28.58   27.81    0.76
569,1997   6   28.81   27.59    1.22
570,1997   7   28.85   27.18    1.67
571,1997   8   28.74   26.83    1.91
572,1997   9   28.84   26.73    2.12
573,1997  10   29.07   26.67    2.40
574,1997  11   29.11   26.63    2.48
575,1997  12   28.89   26.56    2.32
576,1998   1   28.93   26.56    2.37
577,1998   2   28.79   26.75    2.03
578,1998   3   28.63   27.24    1.38
579,1998   4   28.61   27.72    0.90
580,1998   5   28.52   27.81    0.70
581,1998   6   27.35   27.59   -0.24
582,1998   7   26.32   27.18   -0.86
583,1998   8   25.59   26.83   -1.25
584,1998   9   25.47   26.73   -1.26
585,1998  10   25.26   26.67   -1.41
586,1998  11   25.25   26.63   -1.38
587,1998  12   24.92   26.56   -1.64
588,1999   1   24.87   26.56   -1.69
589,1999   2   25.44   26.75   -1.31
590,1999   3   26.34   27.24   -0.90
591,1999   4   26.71   27.72   -1.00
592,1999   5   26.79   27.81   -1.02
593,1999   6   26.54   27.59   -1.05
594,1999   7   26.13   27.18   -1.05
595,1999   8   25.64   26.83   -1.19
596,1999   9   25.63   26.73   -1.09
597,1999  10   25.48   26.67   -1.19
598,1999  11   25.13   26.63   -1.50
599,1999  12   24.87   26.56   -1.70
600,2000   1   24.79   26.56   -1.77
601,2000   2   25.23   26.75   -1.53
602,2000   3   26.31   27.24   -0.93
603,2000   4   26.96   27.72   -0.75
604,2000   5   27.08   27.81   -0.74
605,2000   6   26.95   27.59   -0.64
606,2000   7   26.63   27.18   -0.55
607,2000   8   26.37   26.83   -0.47
608,2000   9   26.20   26.73   -0.52
609,2000  10   26.02   26.67   -0.65
610,2000  11   25.92   26.63   -0.71
611,2000  12   25.69   26.56   -0.88
612,2001   1   25.82   26.45   -0.63
613,2001   2   26.14   26.66   -0.53
614,2001   3   26.82   27.21   -0.39
615,2001   4   27.34   27.73   -0.39
616,2001   5   27.60   27.85   -0.24
617,2001   6   27.54   27.65   -0.11
618,2001   7   27.25   27.26   -0.01
619,2001   8   26.80   26.91   -0.10
620,2001   9   26.52   26.80   -0.28
621,2001  10   26.57   26.75   -0.18
622,2001  11   26.34   26.75   -0.41
623,2001  12   26.20   26.65   -0.46
624,2002   1   26.40   26.45   -0.05
625,2002   2   26.72   26.66    0.06
626,2002   3   27.30   27.21    0.09
627,2002   4   27.85   27.73    0.12
628,2002   5   28.24   27.85    0.40
629,2002   6   28.44   27.65    0.79
630,2002   7   28.03   27.26    0.77
631,2002   8   27.72   26.91    0.81
632,2002   9   27.81   26.80    1.01
633,2002  10   27.96   26.75    1.20
634,2002  11   28.16   26.75    1.41
635,2002  12   27.97   26.65    1.31
636,2003   1   27.16   26.45    0.70
637,2003   2   27.40   26.66    0.74
638,2003   3   27.66   27.21    0.45
639,2003   4   27.69   27.73   -0.05
640,2003   5   27.32   27.85   -0.52
641,2003   6   27.44   27.65   -0.21
642,2003   7   27.50   27.26    0.24
643,2003   8   27.11   26.91    0.20
644,2003   9   26.98   26.80    0.19
645,2003  10   27.14   26.75    0.38
646,2003  11   27.04   26.75    0.29
647,2003  12   27.04   26.65    0.38
648,2004   1   26.83   26.45    0.38
649,2004   2   27.00   26.66    0.34
650,2004   3   27.41   27.21    0.21
651,2004   4   27.89   27.73    0.16
652,2004   5   27.99   27.85    0.14
653,2004   6   27.85   27.65    0.20
654,2004   7   27.77   27.26    0.51
655,2004   8   27.60   26.91    0.70
656,2004   9   27.52   26.80    0.72
657,2004  10   27.44   26.75    0.68
658,2004  11   27.36   26.75    0.61
659,2004  12   27.34   26.65    0.69
660,2005   1   27.21   26.45    0.76
661,2005   2   27.12   26.66    0.46
662,2005   3   27.74   27.21    0.53
663,2005   4   28.09   27.73    0.35
664,2005   5   28.24   27.85    0.39
665,2005   6   27.77   27.65    0.12
666,2005   7   27.07   27.26   -0.19
667,2005   8   26.80   26.91   -0.10
668,2005   9   26.68   26.80   -0.11
669,2005  10   26.65   26.75   -0.10
670,2005  11   26.11   26.75   -0.64
671,2005  12   25.68   26.65   -0.97
672,2006   1   25.64   26.55   -0.91
673,2006   2   26.09   26.76   -0.67
674,2006   3   26.58   27.29   -0.71
675,2006   4   27.51   27.83   -0.32
676,2006   5   27.85   27.94   -0.09
677,2006   6   27.73   27.73    0.00
678,2006   7   27.30   27.29    0.01
679,2006   8   27.16   26.86    0.31
